Type,country_code,eu,eu_sub,full_name,imf2003,incomelevel,name,oecd,region
country,AFG,False,False,Afghanistan,Developing Countries,Low income,Afghanistan,False,South Asia
country,HTI,False,False,Haiti,Developing Countries,Low income,Haiti,False,South America
country,AGO,False,False,Angola,Developing Countries,Lower middle income,Angola,False,Sub-Saharan Africa
country,GIN,False,False,Guinea,Developing Countries,Low income,Guinea,False,Sub-Saharan Africa
country,SLE,False,False,Sierra Leone,Developing Countries,Low income,Sierra Leone,False,Sub-Saharan Africa
country,COD,False,False,Democratic Republic Congo,Developing Countries,Low income,Democratic Republic Congo,False,Sub-Saharan Africa
country,BTN,False,False,Bhutan,Developing Countries,Lower middle income,Bhutan,False,South Asia
country,PRK,False,False,North Korea,Developing Countries,Low income,North Korea,False,East Asia
country,CAF,False,False,Central African Republic,Developing Countries,Low income,Central African Republic,False,Sub-Saharan Africa
country,CHE,False,False,Switzerland,Advanced Countries,High income,Switzerland,OECD,Europe
country,MRT,False,False,Mauritania,Developing Countries,Lower middle income,Mauritania,False,Sub-Saharan Africa
country,LSO,False,False,Lesotho,Developing Countries,Lower middle income,Lesotho,False,Sub-Saharan Africa
country,GNB,False,False,Guinea-Bissau,Developing Countries,Low income,Guinea-Bissau,False,Sub-Saharan Africa
country,GUY,False,False,Guyana,Developing Countries,Upper middle income,Guyana,False,South America
country,ERI,False,False,Eritrea,Developing Countries,Low income,Eritrea,False,Sub-Saharan Africa
country,TWN,False,False,Taiwan,Advanced Countries,High income,Taiwan,False,East Asia
country,TCD,False,False,Chad,Developing Countries,Low income,Chad,False,Sub-Saharan Africa
country,BDI,False,False,Burundi,Developing Countries,Low income,Burundi,False,Sub-Saharan Africa
country,TTO,False,False,Trinidad and Tobago,Developing Countries,High income,Trinidad and Tobago,False,South America
country,LBR,False,False,Liberia,Developing Countries,Low income,Liberia,False,Sub-Saharan Africa
country,VUT,False,False,Vanuatu,Developing Countries,Lower middle income,Vanuatu,False,Pacific
country,BLZ,False,False,Belize,Developing Countries,Upper middle income,Belize,False,South America
country,SLB,False,False,Solomon Islands,Developing Countries,Lower middle income,Solomon Islands,False,Pacific
country,SUR,False,False,Suriname,Developing Countries,Upper middle income,Suriname,False,South America
country,DMA,False,False,Dominica,Developing Countries,Upper middle income,Dominica,False,South America
country,CPV,False,False,Cape Verde,Developing Countries,Lower middle income,Cape Verde,False,Sub-Saharan Africa
country,WSM,False,False,Samoa,Developing Countries,Upper middle income,Samoa,False,Pacific
country,MDV,False,False,Maldives,Developing Countries,Upper middle income,Maldives,False,South Asia
country,UZB,False,False,Uzbekistan,Transition Countries,Lower middle income,Uzbekistan,False,Central Asia
country,FSM,False,False,Federated States of Micronesia,Developing Countries,Lower middle income,Micronesia,False,Pacific
country,DJI,False,False,Djibouti,Developing Countries,Lower middle income,Djibouti,False,North Africa
country,ARE,False,False,United Arab Emirates,Developing Countries,High income,United Arab Emirates,False,Middle East
country,GBR,EU,EU-15,United Kingdom,Advanced Countries,High income,United Kingdom,OECD,Europe
country,USA,False,False,United States,Advanced Countries,High income,United States,OECD,North America
country,GNQ,False,False,Equatorial Guinea,Developing Countries,Upper middle income,Equatorial Guinea,False,Sub-Saharan Africa
country,TLS,False,False,Timor-Leste,Developing Countries,Lower middle income,Timor-Leste,False,East Asia
country,URY,False,False,Uruguay,Developing Countries,High income,Uruguay,False,South America
country,SOM,False,False,Somalia,Developing Countries,Low income,Somalia,False,Sub-Saharan Africa
country,TON,False,False,Tonga,Developing Countries,Upper middle income,Tonga,False,Pacific
country,COM,False,False,Comoros,Developing Countries,Low income,Comoros,False,Sub-Saharan Africa
country,LCA,False,False,Saint Lucia,Developing Countries,Upper middle income,Saint Lucia,False,South America
country,VCT,False,False,Saint Vincent and the Grenadines,Developing Countries,Upper middle income,Saint Vincent and the Grenadines,False,South America
country,MHL,False,False,Marshall Islands,Developing Countries,Upper middle income,Marshall Islands,False,Pacific
country,KIR,False,False,Kiribati,Developing Countries,Lower middle income,Kiribati,False,Pacific
country,STP,False,False,Sao Tome and Principe,Developing Countries,Lower middle income,Sao Tome and Principe,False,Sub-Saharan Africa
country,TUV,False,False,Tuvalu,Developing Countries,Upper middle income,Tuvalu,False,Pacific
country,NRU,False,False,Nauru,Developing Countries,Upper middle income,Nauru,False,Pacific
aggregate,_NAmer,,,North America,,,North America,,
aggregate,_EAsia,,,East Asia,,,East Asia,,
aggregate,_Europe,,,Europe,,,Europe,,
aggregate,_SAsia,,,South Asia,,,South Asia,,
aggregate,_Pac,,,Pacific,,,Pacific,,
aggregate,_SAmer,,,South America,,,South America,,
aggregate,_CAsia,,,Central Asia,,,Central Asia,,
aggregate,_MEast,,,Middle East,,,Middle East,,
aggregate,_SSAfr,,,Sub-Saharan Africa,,,Sub-Saharan Africa,,
aggregate,_NAfr,,,North Africa,,,North Africa,,
aggregate,_UMI,,,Upper middle income,,,Upper middle income,,
aggregate,_HI,,,High income,,,High income,,
aggregate,_LMI,,,Lower middle income,,,Lower middle income,,
aggregate,_LI,,,Low income,,,Low income,,
aggregate,_EU15,,,EU-15,,,EU-15,,
aggregate,_EU13,,,EU-13,,,EU-13,,
aggregate,_EU,,,EU,,,EU,,
aggregate,_OECD,,,OECD,,,OECD,,
aggregate,_ADV,,,Advanced Countries,,,Advanced Countries,,
aggregate,_DEV,,,Developing Countries,,,Developing Countries,,
aggregate,_TRA,,,Transition Countries,,,Transition Countries,,
aggregate,_AV,,,World,,,World,,
