Type,country_code,eu,eu_sub,imf2003,incomelevel,name,oecd,region
country,TON,False,False,Developing Countries,Upper middle income,Tonga,False,Pacific
country,COM,False,False,Developing Countries,Low income,Comoros,False,Sub-Saharan Africa
country,LCA,False,False,Developing Countries,Upper middle income,Saint Lucia,False,South America
country,VCT,False,False,Developing Countries,Upper middle income,Saint Vincent and the Grenadines,False,South America
country,MHL,False,False,Developing Countries,Upper middle income,Marshall Islands,False,Pacific
country,KIR,False,False,Developing Countries,Lower middle income,Kiribati,False,Pacific
country,STP,False,False,Developing Countries,Lower middle income,Sao Tome and Principe,False,Sub-Saharan Africa
country,TUV,False,False,Developing Countries,Upper middle income,Tuvalu,False,Pacific
country,NRU,False,False,Developing Countries,Upper middle income,Nauru,False,Pacific
aggregate,_NAmer,,,,,North America,,
aggregate,_EAsia,,,,,East Asia,,
aggregate,_Europe,,,,,Europe,,
aggregate,_SAsia,,,,,South Asia,,
aggregate,_Pac,,,,,Pacific,,
aggregate,_SAmer,,,,,South America,,
aggregate,_CAsia,,,,,Central Asia,,
aggregate,_MEast,,,,,Middle East,,
aggregate,_SSAfr,,,,,Sub-Saharan Africa,,
aggregate,_NAfr,,,,,North Africa,,
aggregate,_UMI,,,,,Upper middle income,,
aggregate,_HI,,,,,High income,,
aggregate,_LMI,,,,,Lower middle income,,
aggregate,_LI,,,,,Low income,,
aggregate,_EU15,,,,,EU-15,,
aggregate,_EU13,,,,,EU-13,,
aggregate,_EU,,,,,EU,,
aggregate,_OECD,,,,,OECD,,
aggregate,_ADV,,,,,Advanced Countries,,
aggregate,_DEV,,,,,Developing Countries,,
aggregate,_TRA,,,,,Transition Countries,,
aggregate,_AV,,,,,World,,
